school_id,school_name,state,district,enrollment,reading_pct_std3,arithmetic_pct_std3,girls_dropout_risk_pct,has_library,has_computer,years_flagged_no_improvement,intervention_recorded,library_used,computer_used
S0215,"Govt Upper Primary School, Mewat Block 5",Haryana,Mewat,82,25.1,35.7,10.2,True,True,0,False,True,False
S0216,"Govt Primary School, Vizianagaram Block 1",Andhra Pradesh,Vizianagaram,75,20.6,15.6,5.3,True,True,0,False,False,False
S0217,"Govt Upper Primary School, Anantapur Block 2",Andhra Pradesh,Anantapur,48,13.2,29.5,11.5,True,True,1,False,True,True
S0218,"Govt Higher Secondary School, Vizianagaram Block 3",Andhra Pradesh,Vizianagaram,82,16.2,30.8,7.0,True,False,3,False,True,False
S0219,"Govt Primary School, Anantapur Block 4",Andhra Pradesh,Anantapur,55,15.7,32.2,6.3,True,True,4,False,False,False
S0220,"Govt Upper Primary School, Vizianagaram Block 5",Andhra Pradesh,Vizianagaram,140,13.5,19.7,12.7,False,False,0,False,False,False
S0221,"Govt Primary School, Adilabad Block 1",Telangana,Adilabad,75,8.0,17.8,6.6,True,True,3,False,False,False
S0222,"Govt Upper Primary School, Mahabubnagar Block 2",Telangana,Mahabubnagar,68,16.1,24.7,5.0,True,False,4,False,False,False
S0223,"Govt Higher Secondary School, Adilabad Block 3",Telangana,Adilabad,42,20.9,18.8,7.9,True,True,2,False,True,True
S0224,"Govt Primary School, Mahabubnagar Block 4",Telangana,Mahabubnagar,35,16.8,23.4,10.7,True,True,0,True,True,False
S0225,"Govt Upper Primary School, Adilabad Block 5",Telangana,Adilabad,120,12.1,24.6,11.2,False,True,4,False,False,True
S0226,"Govt Primary School, Purulia Block 1",West Bengal,Purulia,105,31.8,21.3,8.6,False,True,0,False,False,False
S0227,"Govt Upper Primary School, Malda Block 2",West Bengal,Malda,35,21.0,23.7,7.7,True,False,4,False,False,False
S0228,"Govt Higher Secondary School, Purulia Block 3",West Bengal,Purulia,35,17.0,10.9,5.6,False,False,0,False,False,False
S0229,"Govt Primary School, Malda Block 4",West Bengal,Malda,48,33.4,35.7,3.8,True,True,3,False,True,True
S0230,"Govt Upper Primary School, Purulia Block 5",West Bengal,Purulia,60,37.6,26.0,6.5,True,True,2,True,False,False
S0231,"Govt Primary School, Pakur Block 1",Jharkhand,Pakur,90,7.8,17.8,11.2,False,False,0,True,False,False
S0232,"Govt Upper Primary School, Sahibganj Block 2",Jharkhand,Sahibganj,35,27.5,36.0,13.0,True,False,0,True,False,False
S0233,"Govt Higher Secondary School, Pakur Block 3",Jharkhand,Pakur,140,17.4,7.1,7.7,True,False,0,False,True,False
S0234,"Govt Primary School, Sahibganj Block 4",Jharkhand,Sahibganj,140,26.1,18.5,9.3,True,False,2,False,False,False
S0235,"Govt Upper Primary School, Pakur Block 5",Jharkhand,Pakur,82,7.8,11.1,7.8,False,True,2,False,False,False
S0236,"Govt Primary School, Champawat Block 1",Uttarakhand,Champawat,55,32.1,27.1,0.7,True,False,2,False,True,False
S0237,"Govt Upper Primary School, Uttarkashi Block 2",Uttarakhand,Uttarkashi,42,20.3,25.0,3.0,True,False,0,False,True,False
S0238,"Govt Higher Secondary School, Champawat Block 3",Uttarakhand,Champawat,90,27.8,23.2,5.9,True,True,1,False,False,True
S0239,"Govt Primary School, Uttarkashi Block 4",Uttarakhand,Uttarkashi,75,27.6,24.2,8.2,True,True,1,True,True,False
S0240,"Govt Upper Primary School, Champawat Block 5",Uttarakhand,Champawat,35,25.1,20.4,7.1,True,True,2,False,False,True
